               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11472,             0.12001,            0.044235,           0.0020743,             0.49324,           0.0025848,           0.0010238,             0.10335,               0.102,            0.043634,              0.0964,              0.0004,              0.0004
                   1,             0.11014,             0.11739,             0.04325,           0.0019312,             0.46729,           0.0023799,          0.00081048,            0.099491,            0.096748,            0.042883,            0.091891,          0.00089109,          0.00089109
                   2,              0.1045,             0.12646,            0.041822,           0.0018723,             0.45378,           0.0020356,          0.00067498,            0.094898,            0.086643,            0.042151,            0.087372,           0.0013723,           0.0013723
                   3,             0.10113,             0.12806,            0.039965,          0.00083747,             0.26351,           0.0010342,          0.00036235,            0.092977,            0.090946,            0.041501,            0.082844,           0.0018436,           0.0018436
                   4,            0.099423,             0.12799,            0.038227,          0.00055556,                0.25,          0.00059089,          0.00025704,            0.092268,            0.092583,            0.041016,            0.078305,            0.002305,            0.002305
                   5,            0.096534,             0.11701,            0.035406,          0.00054293,             0.24432,          0.00057302,          0.00023727,            0.091681,             0.09399,            0.040659,            0.073756,           0.0027564,           0.0027564
                   6,            0.096012,               0.111,            0.033451,          0.00054323,             0.24432,          0.00063545,          0.00024009,            0.091778,            0.094425,            0.040411,            0.069198,            0.003198,            0.003198
                   7,            0.093459,             0.10893,            0.031039,          0.00071287,             0.22934,          0.00075928,          0.00028307,            0.091751,            0.095341,            0.040292,             0.06463,           0.0036297,           0.0036297
                   8,            0.091688,             0.10535,            0.029189,          0.00082296,             0.25207,           0.0012581,          0.00047304,            0.091981,            0.097218,            0.040237,            0.060052,           0.0040515,           0.0040515
                   9,            0.091575,            0.092214,            0.028314,          0.00012175,           0.0077479,          6.2797e-05,          6.2797e-06,            0.092328,            0.099529,            0.040265,            0.055463,           0.0044634,           0.0044634
                  10,            0.089474,            0.090879,            0.027755,          8.9896e-05,           0.0020661,          4.5324e-05,          4.5324e-06,            0.092069,             0.10166,            0.040338,            0.050865,           0.0048654,           0.0048654
                  11,            0.088934,            0.099423,            0.027653,                   0,                   0,                   0,                   0,             0.09227,             0.10342,            0.040292,            0.046257,           0.0052575,           0.0052575
                  12,            0.088234,            0.090319,            0.026717,                   0,                   0,                   0,                   0,            0.092802,             0.10414,            0.040329,             0.04164,           0.0056397,           0.0056397
                  13,            0.088568,            0.084847,            0.025903,                   0,                   0,                   0,                   0,            0.092396,             0.10199,            0.040274,            0.037012,            0.006012,            0.006012
                  14,            0.089117,            0.090001,            0.025689,                   0,                   0,                   0,                   0,            0.092031,             0.10228,            0.040036,            0.032374,           0.0063744,           0.0063744
                  15,            0.087741,            0.081313,            0.024833,                   0,                   0,                   0,                   0,            0.091675,             0.10383,            0.039922,            0.027727,           0.0067268,           0.0067268
                  16,            0.086273,             0.09173,            0.024877,                0.25,            0.027027,             0.13851,            0.076073,            0.091284,             0.10359,            0.039487,            0.023069,           0.0070694,           0.0070694
                  17,            0.087043,            0.089631,            0.024214,              0.3477,             0.15326,             0.25667,             0.12719,            0.089243,             0.10479,            0.038708,            0.018402,           0.0074021,           0.0074021
                  18,            0.087535,            0.080012,            0.023769,             0.17041,             0.23357,             0.21496,            0.095207,            0.088846,             0.10436,             0.03831,            0.013725,           0.0077249,           0.0077249
                  19,            0.086856,            0.085497,            0.023232,            0.074941,             0.45729,             0.23969,             0.10678,            0.087706,            0.099644,            0.037376,           0.0090378,           0.0080378,           0.0080378
                  20,            0.085914,            0.079717,            0.022956,            0.045907,             0.93742,             0.27507,             0.12049,            0.084105,            0.083679,            0.033403,             0.00802,             0.00802,             0.00802
                  21,            0.082326,            0.080048,            0.023353,             0.50165,             0.29389,             0.30827,            0.087935,            0.083991,            0.071079,             0.03024,             0.00802,             0.00802,             0.00802
                  22,            0.085211,             0.08194,            0.022672,             0.48738,             0.21844,             0.30957,             0.10939,            0.083292,            0.071995,            0.030812,            0.007921,            0.007921,            0.007921
                  23,            0.083488,            0.080427,            0.022505,             0.45115,             0.50201,             0.41746,             0.13636,            0.084151,            0.057953,            0.024186,            0.007822,            0.007822,            0.007822
                  24,            0.084415,            0.079324,            0.022729,             0.68023,             0.40957,             0.51695,             0.20535,             0.07921,            0.060379,            0.030876,            0.007723,            0.007723,            0.007723
                  25,             0.08094,            0.085341,            0.021437,             0.66259,             0.75602,             0.79317,             0.32099,            0.074533,            0.048752,            0.021215,            0.007624,            0.007624,            0.007624
                  26,            0.080194,            0.078548,            0.021286,             0.50552,             0.54059,             0.53967,             0.19128,            0.078155,            0.049742,            0.022266,            0.007525,            0.007525,            0.007525
                  27,            0.078079,            0.079973,             0.02006,             0.54094,             0.77516,             0.63101,             0.25653,            0.077787,            0.045078,            0.020341,            0.007426,            0.007426,            0.007426
                  28,            0.078678,            0.072438,            0.020494,              0.5926,             0.85326,             0.71786,             0.34737,            0.075294,            0.041405,             0.01946,            0.007327,            0.007327,            0.007327
                  29,            0.077981,              0.0684,            0.019906,             0.69129,              0.8654,             0.74921,             0.28105,            0.077024,            0.045645,            0.019883,            0.007228,            0.007228,            0.007228
                  30,             0.07459,            0.081136,             0.01978,             0.65447,             0.89642,              0.7611,             0.30861,            0.076451,            0.038243,            0.018748,            0.007129,            0.007129,            0.007129
                  31,            0.074543,            0.076251,             0.01999,             0.75473,             0.80558,             0.81437,             0.27624,            0.076085,            0.040661,            0.019901,             0.00703,             0.00703,             0.00703
                  32,            0.076499,             0.07558,            0.019968,             0.82504,             0.92068,             0.91734,             0.40691,             0.07275,            0.040735,            0.018629,            0.006931,            0.006931,            0.006931
                  33,            0.073231,            0.070811,            0.019594,             0.69383,             0.91558,             0.82644,             0.38707,              0.0767,            0.037788,            0.018629,            0.006832,            0.006832,            0.006832
                  34,            0.076171,            0.074579,            0.019522,             0.69699,             0.75579,             0.70188,             0.25867,            0.075353,            0.035746,              0.0184,            0.006733,            0.006733,            0.006733
                  35,            0.072386,             0.07334,            0.019542,             0.74224,             0.85356,             0.82986,             0.35435,            0.073821,            0.037874,            0.020206,            0.006634,            0.006634,            0.006634
                  36,             0.07201,            0.074394,            0.018337,              0.6492,             0.85042,             0.71644,             0.22647,            0.079865,            0.036163,            0.018851,            0.006535,            0.006535,            0.006535
                  37,            0.071573,            0.074684,             0.01894,             0.93739,             0.93332,             0.93374,             0.44669,            0.070755,            0.036507,            0.018949,            0.006436,            0.006436,            0.006436
                  38,            0.071102,            0.070482,            0.018979,             0.89334,             0.92481,             0.92527,             0.43237,            0.072149,            0.035617,            0.018102,            0.006337,            0.006337,            0.006337
                  39,            0.071547,            0.068222,             0.01812,              0.8509,             0.91849,             0.90929,             0.45202,            0.074495,             0.03655,            0.018189,            0.006238,            0.006238,            0.006238
                  40,            0.070059,            0.071209,             0.01867,             0.91843,             0.91254,             0.95262,             0.38974,            0.070893,            0.036318,            0.018102,            0.006139,            0.006139,            0.006139
                  41,            0.070638,            0.064218,             0.01846,             0.89871,             0.94738,              0.9301,               0.415,            0.073504,            0.036936,            0.018336,             0.00604,             0.00604,             0.00604
                  42,            0.070872,            0.073929,            0.019065,             0.81877,             0.82559,             0.76675,             0.25013,            0.074655,             0.03689,            0.018587,            0.005941,            0.005941,            0.005941
                  43,            0.071055,            0.069008,            0.018675,             0.94278,             0.93661,             0.95277,             0.51274,            0.069533,            0.035571,            0.018773,            0.005842,            0.005842,            0.005842
                  44,            0.067863,            0.074244,            0.018052,             0.87565,             0.94194,              0.9326,             0.45391,            0.068795,            0.036501,            0.019089,            0.005743,            0.005743,            0.005743
                  45,             0.06716,            0.067571,            0.018437,             0.89393,             0.76395,             0.90061,             0.41649,            0.071905,            0.042566,            0.019773,            0.005644,            0.005644,            0.005644
                  46,            0.068501,            0.067791,            0.018294,             0.89187,             0.90562,             0.91692,             0.39112,            0.068893,            0.037605,            0.017706,            0.005545,            0.005545,            0.005545
                  47,             0.06901,             0.06808,            0.017737,             0.90969,             0.93769,             0.93282,               0.473,            0.066993,            0.035866,            0.018455,            0.005446,            0.005446,            0.005446
                  48,            0.068034,            0.068979,            0.017883,             0.90964,             0.93728,             0.94045,             0.48213,            0.068831,            0.035136,            0.018123,            0.005347,            0.005347,            0.005347
                  49,            0.066903,            0.070847,             0.01773,             0.96003,             0.96048,             0.96017,             0.53741,            0.066567,            0.035611,            0.018063,            0.005248,            0.005248,            0.005248
                  50,            0.066305,            0.065217,             0.01718,             0.91591,             0.93174,             0.93298,             0.38907,            0.071413,            0.036263,            0.018647,            0.005149,            0.005149,            0.005149
                  51,            0.066545,            0.070156,            0.017279,             0.90064,             0.96064,             0.94389,             0.53629,            0.067026,            0.039259,            0.018148,             0.00505,             0.00505,             0.00505
                  52,            0.066855,            0.064509,            0.017706,              0.9689,             0.95704,             0.97437,              0.5375,             0.06877,            0.034819,            0.018093,            0.004951,            0.004951,            0.004951
                  53,            0.065915,            0.062086,            0.016763,             0.95779,             0.96946,             0.96814,             0.45724,            0.068294,            0.035351,            0.017546,            0.004852,            0.004852,            0.004852
                  54,             0.06672,            0.065049,            0.017208,             0.90879,             0.92288,             0.96537,             0.51258,            0.069372,            0.035889,            0.018292,            0.004753,            0.004753,            0.004753
                  55,            0.065126,            0.071234,            0.017082,             0.96447,             0.96312,             0.96821,             0.54757,            0.066829,            0.035912,            0.017631,            0.004654,            0.004654,            0.004654
                  56,            0.064598,            0.066312,            0.016645,             0.95347,             0.95491,              0.9537,             0.50933,            0.066514,            0.035056,            0.017702,            0.004555,            0.004555,            0.004555
                  57,            0.064419,            0.066786,            0.016725,             0.95464,             0.95441,             0.94939,             0.53926,            0.067785,            0.034364,            0.017924,            0.004456,            0.004456,            0.004456
                  58,            0.065462,            0.073945,            0.016807,             0.96927,             0.97246,             0.96499,             0.51901,            0.067973,            0.034647,            0.017889,            0.004357,            0.004357,            0.004357
                  59,            0.063184,            0.064786,            0.016666,             0.96075,             0.95807,             0.97016,              0.4003,            0.072158,            0.035316,            0.017992,            0.004258,            0.004258,            0.004258
                  60,            0.065616,            0.068071,             0.01663,             0.95429,             0.95181,             0.95162,             0.51846,            0.069384,            0.035122,            0.017766,            0.004159,            0.004159,            0.004159
                  61,            0.064448,            0.067655,            0.016549,             0.96295,             0.95757,             0.96662,             0.53735,            0.067479,            0.034696,            0.017731,             0.00406,             0.00406,             0.00406
                  62,            0.063833,            0.068563,             0.01625,             0.95635,             0.95689,             0.96829,             0.56457,             0.06699,            0.035188,            0.017681,            0.003961,            0.003961,            0.003961
                  63,            0.063495,            0.068675,            0.016561,              0.9617,             0.96321,             0.96626,             0.53662,            0.068834,            0.035957,            0.017633,            0.003862,            0.003862,            0.003862
                  64,            0.064263,            0.069038,            0.016954,             0.94936,              0.9563,             0.97017,             0.55592,            0.068108,            0.036003,            0.018295,            0.003763,            0.003763,            0.003763
                  65,            0.062006,            0.072902,            0.016691,             0.95628,             0.95327,              0.9647,             0.55016,            0.067065,            0.035791,             0.01777,            0.003664,            0.003664,            0.003664
                  66,            0.061935,            0.061203,            0.016099,             0.97472,             0.97348,             0.97994,             0.52338,            0.067387,            0.035045,            0.017308,            0.003565,            0.003565,            0.003565
                  67,            0.061547,            0.061665,            0.015926,             0.96951,             0.97533,             0.97593,             0.54479,            0.067923,            0.034661,            0.017667,            0.003466,            0.003466,            0.003466
                  68,            0.062606,             0.06314,            0.016158,             0.95816,              0.9683,             0.97368,             0.56411,            0.065908,            0.034799,            0.017686,            0.003367,            0.003367,            0.003367
                  69,            0.061677,            0.066433,            0.016398,             0.97483,             0.96846,             0.97296,             0.53985,            0.068425,            0.034904,            0.017841,            0.003268,            0.003268,            0.003268
                  70,            0.061981,             0.06575,            0.015891,             0.96809,             0.97456,             0.97343,             0.54129,            0.065971,             0.03465,            0.017622,            0.003169,            0.003169,            0.003169
                  71,             0.06091,            0.061532,            0.016095,             0.96158,             0.96577,             0.97138,             0.53432,            0.066329,            0.034727,            0.017713,             0.00307,             0.00307,             0.00307
                  72,            0.061827,            0.059384,            0.016218,             0.96658,             0.96524,             0.96854,              0.5742,            0.066866,            0.034415,            0.018077,            0.002971,            0.002971,            0.002971
                  73,            0.061731,            0.065643,            0.016014,              0.9695,             0.97228,             0.97561,             0.56206,            0.067881,            0.035482,             0.01764,            0.002872,            0.002872,            0.002872
                  74,             0.06081,            0.066401,            0.015364,             0.97157,             0.97449,             0.97818,             0.54053,            0.067475,            0.035568,            0.017487,            0.002773,            0.002773,            0.002773
                  75,            0.061186,            0.062476,            0.016691,             0.96395,             0.96978,             0.97185,             0.55735,            0.066128,             0.03489,            0.017244,            0.002674,            0.002674,            0.002674
                  76,            0.061469,             0.05909,            0.015948,             0.97113,             0.97583,             0.97427,             0.60334,            0.065164,            0.034369,            0.017063,            0.002575,            0.002575,            0.002575
                  77,            0.060974,            0.064853,            0.015931,             0.96226,             0.96541,             0.97348,             0.57838,            0.067396,            0.035591,            0.017237,            0.002476,            0.002476,            0.002476
                  78,            0.061228,            0.065456,            0.016057,             0.96692,             0.97671,             0.96701,             0.54213,            0.066959,            0.034761,            0.017036,            0.002377,            0.002377,            0.002377
                  79,            0.060933,            0.063073,            0.016319,              0.9655,             0.96476,             0.96975,             0.58099,            0.065593,            0.035025,            0.017473,            0.002278,            0.002278,            0.002278
                  80,            0.060239,            0.063612,            0.015826,             0.97275,             0.97576,             0.97676,             0.57943,            0.066905,            0.035076,            0.017008,            0.002179,            0.002179,            0.002179
                  81,            0.059923,            0.066916,             0.01597,             0.97493,             0.97366,             0.97707,             0.59939,            0.066321,            0.035156,            0.017301,             0.00208,             0.00208,             0.00208
                  82,            0.059582,              0.0673,            0.015608,             0.96873,             0.97353,             0.98202,              0.5966,            0.066422,            0.034664,            0.017731,            0.001981,            0.001981,            0.001981
                  83,            0.060143,            0.062278,            0.016043,             0.97596,             0.98164,             0.97383,             0.60688,            0.066291,            0.034321,            0.017578,            0.001882,            0.001882,            0.001882
                  84,            0.060131,            0.065173,            0.015592,             0.97555,             0.98085,             0.97419,             0.57202,            0.066513,            0.035065,             0.01745,            0.001783,            0.001783,            0.001783
                  85,            0.058955,            0.064926,            0.015408,              0.9749,             0.97232,             0.97711,             0.57635,            0.065232,            0.035437,            0.017809,            0.001684,            0.001684,            0.001684
                  86,            0.059207,            0.065228,            0.015438,             0.95983,             0.96043,             0.96415,             0.58284,            0.064575,            0.036123,            0.018281,            0.001585,            0.001585,            0.001585
                  87,             0.05945,            0.061749,            0.015796,              0.9755,             0.97152,             0.97554,             0.59541,            0.064909,            0.035637,              0.0172,            0.001486,            0.001486,            0.001486
                  88,            0.059607,            0.066409,            0.015761,             0.97212,             0.97894,             0.97519,             0.59284,            0.064575,            0.035285,            0.017088,            0.001387,            0.001387,            0.001387
                  89,            0.059253,            0.060729,            0.015519,             0.97394,             0.97134,             0.97704,             0.59243,            0.065382,            0.035322,            0.017473,            0.001288,            0.001288,            0.001288
                  90,            0.058755,            0.060557,            0.015502,             0.97979,             0.97012,             0.97857,             0.58583,            0.065238,            0.035236,            0.017638,            0.001189,            0.001189,            0.001189
                  91,            0.058786,            0.066695,            0.015618,             0.96999,              0.9666,             0.97749,             0.61142,            0.064792,             0.03493,            0.017269,             0.00109,             0.00109,             0.00109
                  92,            0.058797,            0.062699,            0.015278,             0.96194,             0.96952,              0.9751,             0.59848,            0.064167,             0.03445,            0.017207,            0.000991,            0.000991,            0.000991
                  93,            0.059042,            0.065459,            0.015089,             0.97301,             0.97495,             0.97631,             0.59862,            0.065122,            0.034598,             0.01702,            0.000892,            0.000892,            0.000892
